post_date,post_type,caption,likes,comments,hashtags,video_views,shortcode,engagement_total,engagement_rate,post_topic,follower_count,ig_username,day_of_week,month_year,hour_of_day
2025-09-23,Carousel,"Buka LinkedIn, bukannya semangat malah jadi insecure 🥲

Teman seangkatan update kerja di big company, Orang lain posting konten viral, Ada yang pamer sertifikat baru tiap minggu, Kita? Lamaran kerja bahkan belum ada balasan.

Tenang, kamu nggak sendirian! LinkedIn memang sering bikin kita merasa “nggak cukup” Tapi justru di sinilah kuncinya: bukan soal siapa paling pintar,  tapi siapa yang berani menunjukkan dirinya.

➡ Swipe sekarang buat lihat kenapa LinkedIn sering jadi tempat insecure —  dan gimana cara biar kamu nggak hilang di dalamnya.

#LinkedInStrategy #BelajarLinkedIn #ContentPsychology #GrowOnLinkedIn #PersonalBranding",1949,0,"['linkedinstrategy', 'belajarlinkedin', 'contentpsychology', 'growonlinkedin', 'personalbranding']",0,DO8fs5_Ek3J,1949,28.4194,Personal Branding,6858,belajarlinkedin,Tuesday,2025-09,0
2025-09-22,Carousel,"Job posting zaman sekarang absurd banget!
Diminta jago 10 skill, pengalaman 5 tahun, siap multitasking
Tapi gajinya? Tipis, bahkan kalah sama uang kos

Bukan kamu yang kurang mampu, Standarnya memang nggak manusiawi.

➡ Swipe untuk lihat kenapa standar ini bikin kita makin insecure —
dan gimana cara nyelametin diri dari sistem yang suka eksploitasi!",1949,0,[],0,DO6HCMOEgwG,1949,28.4194,Skill dan Kompetensi,6858,belajarlinkedin,Monday,2025-09,0
2025-09-13,Carousel,"👥 Banyak orang anggap networking = cepat minta tolong.
Padahal yang bikin hubungan bertahan justru trust — bukan transaksi instan

Karena relasi sejati tumbuh dari rasa aman, bukan dari kecepatan meminta.
 ➡ Simpan ini, biar kamu inget: koneksi butuh waktu, bukan trik instan",-1,0,[],0,DOi0y0HEkhS,-1,-0.0146,Networking LinkedIn,6858,belajarlinkedin,Saturday,2025-09,0
2025-09-12,Carousel,"Tenang, kamu bukan satu-satunya!
Hampir semua orang di LinkedIn pernah ngerasa
“Kok kayaknya cuma aku yang invisible, ya?” 👀

Bukan berarti kamu kurang berprestasi
Tapi bisa jadi karena belum tahu kebiasaan kecil yang bikin profilmu nongol di radar recruiter & klien

Faktanya, 73% recruiter rekrut langsung dari LinkedIn
Tapi cuma 3% profil yang benar-benar mereka lihat
Sisanya? Invisible

Nah kabar baiknya, ada 7 habits sederhana berbasis data yang bisa bikin kamu pindah dari “tak terlihat” → jadi “nggak terlupakan.”

Yuk mulai eksis dengan cara yang tepat. Karena ditolak itu sakit,
tapi nggak pernah dilihat sama sekali? Lebih sakit. 🚨

⬅️ Swipe & save sekarang biar kamu nggak lagi jadi bagian dari 97% yang terabaikan",-1,0,[],0,DOgLXKGEuCK,-1,-0.0146,Optimasi Profil LinkedIn,6858,belajarlinkedin,Friday,2025-09,0
2025-09-11,Carousel,"🚨 Banyak kreator LinkedIn berhenti bukan karena jelek, Tapi karena nyerah sebelum terlihat

📊 60% stop di 6 bulan pertama  ⏳ 9 dari 10 post memang sepi — tapi diam-diam ngebangun momentum  🔥 Setelah 12 bulan konsisten, peluangmu dilihat recruiter naik 2–3x lipat

Yang gagal bukan karena algoritma  Tapi karena berhenti terlalu cepat

👀 Keep posting. Keep showing up  Karena invisible itu sementara. Quit itu permanen

⬅️ Swipe biar kamu nggak masuk 60% yang nyerah di tengah jalan",-1,0,[],0,DOdqkMeksjO,-1,-0.0146,Konten Lainnya,6858,belajarlinkedin,Thursday,2025-09,0
2025-09-10,Carousel,"⚡ LinkedIn is brutal
 Kamu cuma punya 7 detik buat bikin orang berhenti scroll

Faktanya, 80% performa post ditentukan 1 baris pertama.
Gagal bikin hook? Ide brilianmu terkubur.

💡 Kabar baiknya: hook itu bisa dipelajari
 ⬅️ Swipe & pelajari datanya biar nggak kalah dalam 7 detik pertama",-1,0,[],0,DObBPKCkmH1,-1,-0.0146,Konten Lainnya,6858,belajarlinkedin,Wednesday,2025-09,0
2025-09-09,Carousel,"Kalau kamu berhenti di postingan ke-9,
jangan salahkan LinkedIn ❌

Karena faktanya, hampir semua orang gagal bukan karena nggak bisa,
tapi karena nyerah terlalu cepat

Satu post bisa jadi nggak ada yang lihat.
Tapi sepuluh post konsisten? Itu yang bikin kamu stand out 💡

➡ Jadi, mau jadi yang berhenti di tengah gym…
atau yang terus latihan sampai kelihatan hasilnya? 💪",-1,0,[],0,DOYUQ5MkscH,-1,-0.0146,Konten Lainnya,6858,belajarlinkedin,Tuesday,2025-09,0
2025-09-08,Carousel,"Rasanya posting di LinkedIn ngomong sendiri? 🎤
Faktanya, itu hidden stage yang semua orang harus lewati.

90% posting memang sepi.
Tapi justru di sana kamu lagi bangun otot: konsistensi, kredibilitas, dan daya tahan. 💪

Karena sering kali, spotlight baru muncul setelah kamu bertahan cukup lama di panggung sepi.

➡ Jangan berhenti di post ke-9.
Siapa tahu, postingan ke-10 lah yang ngubah segalanya. 🚀

#LinkedInStrategy #BelajarLinkedIn #ContentPsychology #GrowOnLinkedIn #PersonalBranding",-1,1,"['linkedinstrategy', 'belajarlinkedin', 'contentpsychology', 'growonlinkedin', 'personalbranding']",0,DOV0yRfkl67,0,0.0,Personal Branding,6858,belajarlinkedin,Monday,2025-09,0
2025-09-07,Carousel,"Faktanya, 80% postingan di LinkedIn mati dalam diam.
Bukan karena isinya jelek… tapi karena mereka abaikan trigger psikologi + algoritma yang nentuin siapa yang kelihatan, dan siapa yang terkubur.

 ⏳ 65% engagement ditentukan hanya dalam 90 menit pertama.
 👀 Orang cuma butuh 1.3 detik buat mutusin: baca → atau skip.
 💬 Post dengan 15+ interaksi awal bisa 3–4x lebih jauh jangkauannya.
 🔥 Dan konten dengan emosi? 2x lebih banyak dishare.

Brutal? Iya.
Tapi inilah cara LinkedIn main. Kalau nggak ngerti, postinganmu bakal hilang tanpa jejak.

⚔ Pilihannya jelas:
 Mau jadi bagian dari 80% yang diam-diam terkubur,
 atau 20% yang bener-bener dilihat?

⬅️ Swipe & Save sekarang — sebelum kamu posting lagi dengan cara lama.

#LinkedInStrategy #BelajarLinkedIn #ContentPsychology #GrowOnLinkedIn #PersonalBranding",-1,0,"['linkedinstrategy', 'belajarlinkedin', 'contentpsychology', 'growonlinkedin', 'personalbranding']",0,DOTSs-skv5e,-1,-0.0146,Personal Branding,6858,belajarlinkedin,Sunday,2025-09,0
2025-09-06,Carousel,"LinkedIn itu nggak adil.
Konten bagus aja nggak cukup.
Kalau postinganmu nggak “memicu trigger” tertentu, ya tenggelam. 🚨

Faktanya:
⏰ 73% orang cuma lihat konten di 3 jam pertama.
🔥 Konten yang punya emosi kuat dishare 2.5x lebih banyak.
💬 Komentar bahkan bisa dorong reach 4x lebih tinggi daripada like.

Artinya sederhana → bukan isi yang paling jenius yang menang, tapi yang ngerti cara mainin algoritma + otak manusia.

⚔ Jadi, setiap kali kamu posting… pilihannya cuma dua:
viral → atau invisible.

⬅️ Swipe & Save sekarang, biar postinganmu nggak lagi hilang tanpa jejak.
#LinkedInStrategy #BelajarLinkedIn #ContentPsychology #GrowOnLinkedIn #PersonalBranding",-1,0,"['linkedinstrategy', 'belajarlinkedin', 'contentpsychology', 'growonlinkedin', 'personalbranding']",0,DOQ3CvmEr7D,-1,-0.0146,Personal Branding,6858,belajarlinkedin,Saturday,2025-09,0
2025-09-05,Carousel,"Banyak orang gagal di LinkedIn,
bukan karena mereka nggak punya skill…
tapi karena nggak ngerti angka-angka yang sebenarnya ngatur permainan. 📊

Faktanya:
⏳ 65% engagement ditentukan hanya di 90 menit pertama.
🤝 85% pekerjaan datang lewat networking, bukan apply job.
👀 Dan postingan dengan wajah dapat 38% lebih banyak reaksi.

Brutal? Iya.
Tapi inilah realita LinkedIn. Kalau kamu abaikan data ini, profilmu bakal tetap invisible.

⚔ Tapi kalau kamu tahu cara mainnya, 
kamu bisa gandakan authority, reach, dan trust

⬅️ Swipe & Save sekarang, biar kamu nggak lagi main LinkedIn pakai insting doang.

#LinkedInStrategy #BelajarLinkedIn #LinkedInTips #GrowOnLinkedIn  #CareerTips",-1,0,"['linkedinstrategy', 'belajarlinkedin', 'linkedintips', 'growonlinkedin', 'careertips']",0,DOOM7UYkm2V,-1,-0.0146,Optimasi Profil LinkedIn,6858,belajarlinkedin,Friday,2025-09,0
2025-09-04,Carousel,"Posting di LinkedIn itu bukan sekadar nulis status.
⚔ Ini medan perang psikologis — tempat kontenmu bisa hidup… atau mati tanpa jejak.
Faktanya, 70% postingan di LinkedIn mati tak terlihat.
Bukan karena isinya jelek, tapi karena nggak ngerti cara mainin psikologi audiens + algoritma.
Kalau kamu tahu 7 brain triggers ini, peluang postinganmu dilihat bisa naik 3x lipat.
Kalau nggak? Ya tenggelam, hilang begitu saja.
⚔ Pilihannya jelas: mau jadi yang dilihat, atau yang dilupakan?
⬅️ Swipe & Save sekarang biar kamu ngerti trik bertahan hidup di LinkedIn.

#LinkedInStrategy #BelajarLinkedIn #ContentPsychology #GrowOnLinkedIn #PersonalBranding",-1,0,"['linkedinstrategy', 'belajarlinkedin', 'contentpsychology', 'growonlinkedin', 'personalbranding']",0,DOLaeIBkjq3,-1,-0.0146,Personal Branding,6858,belajarlinkedin,Thursday,2025-09,0
2025-08-28,Carousel,"Pernah nggak kamu ngerasa udah rajin update LinkedIn…
tapi tetep aja kayak “nggak kelihatan”? 👀

Bukan berarti kamu kurang berprestasi.

Tapi bisa jadi karena belum tahu kebiasaan kecil yang bikin profilmu nongol di radar recruiter & klien.
Faktanya, 73% recruiter rekrut langsung dari LinkedIn. Tapi cuma 3% profil yang benar-benar mereka lihat. Sisanya? Invisible.

Nah kabar baiknya, ada 7 habits sederhana berbasis data yang bisa bikin kamu pindah dari “tak terlihat” → jadi “nggak terlupakan.”

Yuk mulai eksis dengan cara yang tepat. Karena ditolak itu sakit, tapi nggak pernah dilihat sama sekali? Lebih sakit. 🚨

⬅️ Swipe & save sekarang biar kamu nggak lagi jadi bagian dari 97% yang terabaikan.

#LinkedInStrategy #BelajarLinkedIn #ContentPsychology #GrowOnLinkedIn #PersonalBranding",1858,0,"['linkedinstrategy', 'belajarlinkedin', 'contentpsychology', 'growonlinkedin', 'personalbranding']",0,DN48aZdkqvK,1858,27.0924,Optimasi Profil LinkedIn,6858,belajarlinkedin,Thursday,2025-08,0
2025-08-06,Image,"🚀 Mau tahu strategi networking yang bikin kamu stand out di LinkedIn?

Kalau kamu mau naik level ke status VIP di LinkedIn, ini saatnya gabung dan unlock semuanya.

#LinkedInNetworking #BelajarLinkedIn #NetworkingStrategy #VIPAccess #CareerGrowth #NextLevelLinkedIn",2300,0,"['linkedinnetworking', 'belajarlinkedin', 'networkingstrategy', 'vipaccess', 'careergrowth', 'nextlevellinkedin']",0,DNARe8FSBVY,2300,33.5375,Networking LinkedIn,6858,belajarlinkedin,Wednesday,2025-08,0
2025-08-06,Carousel,"📌 Ingat, LinkedIn itu bukan sekadar etalase CV.
Ini adalah tempat membangun trust — dan trust itu lahir dari interaksi yang tulus, relevan, dan konsisten.

Mau tau rahasia main LinkedIn biar:
✨ Koneksi nyambung, bukan cuma numpang lewat
✨ Profil kamu jadi “magnet” peluang
✨ Personal brand makin solid

Stay tuned, kita bakal bongkar 3 cara simpel yang bisa bikin networking kamu lebih kuat, lebih manusiawi, dan lebih berdampak. 🚀

#LinkedInNetworking #BelajarLinkedIn #NextLevelLinkedIn #LinkedInTips #NetworkingStrategy #CareerGrowth",2296,1,"['linkedinnetworking', 'belajarlinkedin', 'nextlevellinkedin', 'linkedintips', 'networkingstrategy', 'careergrowth']",0,DNARQS4SqtQ,2297,33.4937,Optimasi Profil LinkedIn,6858,belajarlinkedin,Wednesday,2025-08,0
2025-07-19,Carousel,"🚀 Saatnya #NaikLevel di LinkedIn!
BelajarLinkedin hadir untuk bantu kamu bangun personal branding, siap kerja, dan terkoneksi global

Yuk kenalan sama visi & misi kami di slide ini!

#BelajarLinkedin #LinkedInIndonesia #PersonalBranding #JobReady #Networking",3318,0,"['naiklevel', 'belajarlinkedin', 'linkedinindonesia', 'personalbranding', 'jobready', 'networking']",0,DMS6pdhyAXP,3318,48.3815,Personal Branding,6858,belajarlinkedin,Saturday,2025-07,0
2025-07-18,Carousel,"Kadang, satu tantangan kecil bisa jadi titik balik besar buat kariermu.

Kalau kamu merasa LinkedIn-mu belum maksimal atau masih bingung mulai dari mana, ini saatnya.

Gabung ke 4-Week LinkedIn Growth Challenge dan bangun profil yang bukan cuma dilihat—tapi juga dipertimbangkan.

#LinkedInChallenge #BelajarLinkedIn #LinkedInIndonesia #GrowTogether #CareerChallenge #NextLevelLinkedIn #LinkedInGame",3247,0,"['linkedinchallenge', 'belajarlinkedin', 'linkedinindonesia', 'growtogether', 'careerchallenge', 'nextlevellinkedin', 'linkedingame']",0,DMOwIIrySwn,3247,47.3462,Optimasi Profil LinkedIn,6858,belajarlinkedin,Friday,2025-07,0
2025-07-18,Carousel,"📱 LinkedIn bukan soal tampil ramai, tapi tampil relevan.

Banyak yang stuck karena bingung mau posting apa. Padahal, ada cara kreatif buat engage audiens tanpa harus jadi “influencer.”

Yuk mulai jadi versi profesional terbaikmu, satu konten bermakna dalam satu waktu.

#LinkedInContent #CreativeLinkedIn #BelajarLinkedIn #LinkedInStrategy #PersonalBranding #CareerTips #LinkedInIndonesia #GrowOnLinkedIn",3235,0,"['linkedincontent', 'creativelinkedin', 'belajarlinkedin', 'linkedinstrategy', 'personalbranding', 'careertips', 'linkedinindonesia', 'growonlinkedin']",0,DMOs9-nSFim,3235,47.1712,Personal Branding,6858,belajarlinkedin,Friday,2025-07,0
2025-07-18,Carousel,"Banyak orang pakai LinkedIn. Tapi hanya sedikit yang tahu strategi tepat untuk bikin peluang datang tanpa harus ngejar terus-terusan.

Kalau kamu ingin proses cari kerja jadi lebih efisien dan terarah, 5 strategi ini bisa jadi kuncinya.

Saatnya ubah LinkedIn dari sekadar profil jadi alat yang benar-benar bekerja untuk kariermu.

#LinkedInStrategy #BelajarLinkedIn #LinkedInIndonesia #CareerTools #JobSearchTips #NextLevelLinkedIn #LinkedInOptimization",3235,0,"['linkedinstrategy', 'belajarlinkedin', 'linkedinindonesia', 'careertools', 'jobsearchtips', 'nextlevellinkedin', 'linkedinoptimization']",0,DMOvr0iSbJ1,3235,47.1712,Optimasi Profil LinkedIn,6858,belajarlinkedin,Friday,2025-07,0
2025-07-18,Carousel,"Kamu pernah nggak, merasa aktif di LinkedIn… tapi tetap nggak dilirik siapa-siapa?

Bisa jadi bukan karena kamu kurang bagus. Tapi karena belum tahu cara membangun koneksi yang nyambung — bukan cuma nyantol.

LinkedIn bukan tempat pamer CV, tapi tempat kamu membangun trust. Dan itu butuh strategi.

Yuk pelajari 3 cara simple yang bisa bikin networking kamu lebih kuat, lebih manusiawi, dan lebih berdampak. 🤝

#LinkedInNetworking #BelajarLinkedIn #NextLevelLinkedIn #LinkedInTips #NetworkingStrategy #CareerGrowth #PersonalBranding",3287,0,"['linkedinnetworking', 'belajarlinkedin', 'nextlevellinkedin', 'linkedintips', 'networkingstrategy', 'careergrowth', 'personalbranding']",0,DMPnabzSksB,3287,47.9294,Personal Branding,6858,belajarlinkedin,Friday,2025-07,0
2025-07-18,Carousel,"Sekarang saatnya adaptasi. Kenali perubahan algoritma 2025 dan optimalkan strategi kontenmu mulai hari ini.

#LinkedInUpdate #AlgoritmaLinkedIn #BelajarLinkedIn #LinkedInTips #DigitalStrategy #NextLevelLinkedIn #LinkedInIndonesia",3262,0,"['linkedinupdate', 'algoritmalinkedin', 'belajarlinkedin', 'linkedintips', 'digitalstrategy', 'nextlevellinkedin', 'linkedinindonesia']",0,DMOxNE8yImG,3262,47.5649,Tips dan Panduan Umum,6858,belajarlinkedin,Friday,2025-07,0
2025-07-18,Carousel,"📌 Banyak yang pakai LinkedIn, tapi sedikit yang benar-benar ngerti kekuatannya.

👀 Angka-angka terbaru ini bukan cuma statistik. Mereka bukti bahwa peluang kerja, koneksi, dan arah kariermu bisa berubah—kalau kamu tahu cara mainnya.

Saatnya upgrade caramu lihat LinkedIn. Bukan sekadar CV digital, tapi alat bantu tumbuhkan kariermu.

#LinkedInInsights #BelajarLinkedIn #LinkedInIndonesia #CareerClarity #TipsLinkedIn #NextLevelLinkedIn #LinkedInMindset",3223,0,"['linkedininsights', 'belajarlinkedin', 'linkedinindonesia', 'careerclarity', 'tipslinkedin', 'nextlevellinkedin', 'linkedinmindset']",0,DMOqZlABsl_,3223,46.9962,Tips Melamar Kerja,6858,belajarlinkedin,Friday,2025-07,0
2025-07-17,Carousel,"🚀 Ternyata LinkedIn punya fitur-fitur rahasia yang bisa bikin kamu dilirik HR 5x lebih cepat!

📌 Dari strategi networking yang diam-diam dipakai para top talent, sampai tools tersembunyi yang bisa bikin profilmu stand out total.

Let’s hack your LinkedIn game today.

#LinkedInSecrets #BoostYourCareer #JobHack #BelajarLinkedIn #TipsLinkedIn #CareerTips #LinkedInTips #LinkedInIndonesia #NextLevelLinkedIn",3223,0,"['linkedinsecrets', 'boostyourcareer', 'jobhack', 'belajarlinkedin', 'tipslinkedin', 'careertips', 'linkedintips', 'linkedinindonesia', 'nextlevellinkedin']",0,DMNgv0BSK24,3223,46.9962,Optimasi Profil LinkedIn,6858,belajarlinkedin,Thursday,2025-07,0
